insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (1, 45, 738, 194, 893, 955, 262, 806, 107);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (2, 678, 999, 781, 594, 322, 1, 219, 406);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (3, 215, 900, 977, 67, 785, 100, 23, 933);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (4, 770, 273, 547, 647, 230, 727, 453, 353);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (5, 441, 508, 448, 670, 559, 492, 552, 330);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (6, 266, 464, 344, 726, 734, 536, 656, 274);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (7, 628, 884, 573, 509, 372, 116, 427, 491);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (8, 17, 448, 631, 83, 983, 552, 369, 917);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (9, 170, 936, 818, 633, 830, 64, 182, 367);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (10, 336, 499, 375, 761, 664, 501, 625, 239);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (11, 297, 510, 173, 335, 703, 490, 827, 665);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (12, 971, 22, 878, 149, 29, 978, 122, 851);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (13, 399, 628, 865, 152, 601, 372, 135, 848);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (14, 92, 463, 318, 454, 908, 537, 682, 546);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (15, 163, 492, 892, 544, 837, 508, 108, 456);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (16, 58, 807, 347, 411, 942, 193, 653, 589);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (17, 766, 880, 73, 423, 234, 120, 927, 577);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (18, 738, 584, 135, 842, 262, 416, 865, 158);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (19, 411, 966, 403, 777, 589, 34, 597, 223);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (20, 57, 481, 51, 568, 943, 519, 949, 432);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (21, 964, 753, 19, 787, 36, 247, 981, 213);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (22, 936, 532, 621, 964, 64, 468, 379, 36);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (23, 330, 325, 604, 105, 670, 675, 396, 895);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (24, 370, 717, 260, 227, 630, 283, 740, 773);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (25, 679, 687, 939, 149, 321, 313, 61, 851);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (26, 161, 532, 138, 771, 839, 468, 862, 229);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (27, 543, 175, 115, 911, 457, 825, 885, 89);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (28, 382, 899, 51, 944, 618, 101, 949, 56);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (29, 878, 982, 58, 171, 122, 18, 942, 829);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (30, 184, 441, 877, 139, 816, 559, 123, 861);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (31, 946, 645, 468, 7, 54, 355, 532, 993);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (32, 85, 818, 374, 656, 915, 182, 626, 344);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (33, 694, 631, 702, 288, 306, 369, 298, 712);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (34, 224, 872, 16, 463, 776, 128, 984, 537);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (35, 522, 101, 178, 572, 478, 899, 822, 428);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (36, 820, 3, 975, 378, 180, 997, 25, 622);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (37, 387, 373, 555, 614, 613, 627, 445, 386);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (38, 385, 846, 686, 407, 615, 154, 314, 593);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (39, 498, 340, 458, 510, 502, 660, 542, 490);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (40, 546, 560, 1, 776, 454, 440, 999, 224);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (41, 221, 933, 852, 48, 779, 67, 148, 952);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (42, 618, 814, 398, 929, 382, 186, 602, 71);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (43, 261, 370, 380, 697, 739, 630, 620, 303);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (44, 777, 461, 610, 346, 223, 539, 390, 654);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (45, 477, 907, 846, 764, 523, 93, 154, 236);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (46, 968, 629, 806, 741, 32, 371, 194, 259);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (47, 873, 688, 887, 59, 127, 312, 113, 941);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (48, 2, 749, 342, 895, 998, 251, 658, 105);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (49, 93, 462, 795, 524, 907, 538, 205, 476);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (50, 227, 526, 778, 4, 773, 474, 222, 996);
insert into Personality (personalityID, e, n, t, j, i, s, f, p) values (51, 741, 656, 149, 164, 259, 344, 851, 836);
